epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5098,2.83425,3.81265,2.86683,0.00317,0.95,0.00593,0.00108,3.13021,4.63452,3.83689,2e-05,2e-05,2e-05
2,34.6319,2.91866,3.9029,3.01758,0.00333,1,0.01758,0.00342,2.58696,4.47687,3.32682,5.8812e-05,5.8812e-05,5.8812e-05
3,51.2733,2.48139,3.57214,2.49536,0.00333,1,0.11795,0.02196,2.00308,4.2499,2.77794,9.604e-05,9.604e-05,9.604e-05
4,68.1434,2.15918,3.29855,2.24667,0.00333,1,0.30534,0.10549,1.70983,3.85892,2.2766,0.000131684,0.000131684,0.000131684
5,85.3102,1.93009,3.31413,2.27508,0.00333,1,0.7268,0.31005,1.52488,3.59613,1.97152,0.000165744,0.000165744,0.000165744
6,101.944,1.63034,2.55104,1.80491,0.00333,1,0.91508,0.49921,1.22416,3.28068,1.67444,0.00019822,0.00019822,0.00019822
7,118.953,1.58538,2.44513,1.76949,0.00333,1,0.995,0.60189,1.16221,3.05504,1.52505,0.000229112,0.000229112,0.000229112
8,135.692,1.35367,2.00189,1.58394,0.00333,1,0.995,0.5853,1.26936,2.90076,1.47617,0.00025842,0.00025842,0.00025842
9,151.921,1.34853,1.86271,1.58498,0.00333,1,0.995,0.59725,1.22876,2.89511,1.41982,0.000286144,0.000286144,0.000286144
10,168.407,1.31726,2.08753,1.48272,0.00333,1,0.995,0.66575,1.0849,2.87448,1.30841,0.000312284,0.000312284,0.000312284
11,185.035,1.20319,1.7948,1.37885,0.00333,1,0.995,0.69143,0.99945,2.87012,1.26097,0.00033684,0.00033684,0.00033684
12,201.487,1.41347,1.76878,1.549,0.00333,1,0.99262,0.64815,0.94942,2.92737,1.27708,0.000359812,0.000359812,0.000359812
13,217.979,1.3109,1.62123,1.38186,0.00333,1,0.995,0.64644,1.03146,2.90451,1.31123,0.0003812,0.0003812,0.0003812
14,235.531,1.29766,1.63086,1.44698,0.00333,1,0.995,0.66132,1.0875,2.88802,1.31712,0.000401004,0.000401004,0.000401004
15,256.276,1.37066,1.76268,1.39491,0.00433,1,0.995,0.63972,1.20801,2.92084,1.38106,0.000419224,0.000419224,0.000419224
16,274.923,1.30011,1.78589,1.30439,0.3808,1,0.995,0.61644,1.2705,2.93635,1.38288,0.00043586,0.00043586,0.00043586
17,295.12,1.2487,1.30703,1.29766,0.97665,1,0.995,0.5328,1.41996,3.01969,1.4831,0.000450912,0.000450912,0.000450912
18,313.945,1.25647,1.49838,1.28102,1,0.51367,0.995,0.49747,1.49668,2.9992,1.55806,0.00046438,0.00046438,0.00046438
19,331.885,1.22497,1.5336,1.28255,1,0.39681,0.995,0.4781,1.53215,2.95936,1.55354,0.000476264,0.000476264,0.000476264
20,348.407,1.13335,1.39789,1.18422,1,0.37227,0.99024,0.50593,1.52029,2.87075,1.53504,0.000486564,0.000486564,0.000486564
21,365.423,1.09609,1.30016,1.19236,1,0.38211,0.995,0.60633,1.36466,2.66825,1.45471,0.00049528,0.00049528,0.00049528
22,384.276,1.28319,1.2282,1.31711,1,0.69187,0.99024,0.58104,1.35079,2.57646,1.41623,0.000502412,0.000502412,0.000502412
23,403.193,1.08792,1.18748,1.23121,1,0.74199,0.97596,0.56351,1.34967,2.38579,1.41994,0.00050796,0.00050796,0.00050796
24,421.389,1.08067,1.12756,1.16464,0.94341,0.85,0.96331,0.59278,1.2545,2.22726,1.38139,0.000511924,0.000511924,0.000511924
25,440.767,1.1159,1.24943,1.21889,0.9648,0.85,0.98108,0.67951,1.12843,2.06752,1.2931,0.000514304,0.000514304,0.000514304
26,459.728,1.16453,1.26994,1.29612,1,0.92344,0.995,0.69368,1.08591,2.06991,1.25265,0.0005151,0.0005151,0.0005151
